Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Sergi Darder,71,0,0,0,1,0,1
\u00d3scar Melendo,77,0,0,0,1,1,0
Gerard Moreno,82,0,1,0,0,1,0
Javi L\u00f3pez,90,1,0,0,0,0,1
Naldo,90,1,0,0,0,0,1
Pau L\u00f3pez,90,0,0,1,0,1,0
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
D\u00eddac Vil\u00e1,90,1,0,0,0,1,0
C. S\u00e1nchez,90,0,0,0,1,0,1
David L\u00f3pez,90,1,0,0,0,0,1
L\u00e9o Baptist\u00e3o,90,0,1,0,0,0,1
Marc Roca,19,0,0,0,1,1,0
Sergio Garc\u00eda,13,0,1,0,0,0,1
Jurado,8,0,0,0,1,0,1
