Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Marc Roca,46,0,0,0,1,1,0
Jurado,46,0,0,0,1,0,1
Sergio S\u00e1nchez,69,1,0,0,0,0,1
Mario Hermoso,90,1,0,0,0,1,0
Aar\u00f3n,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
David L\u00f3pez,90,1,0,0,0,0,1
L\u00e9o Baptist\u00e3o,90,0,1,0,0,0,1
Javi Fuego,90,0,0,0,1,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
Marc Navarro,44,1,0,0,0,0,1
Sergio Garc\u00eda,44,0,1,0,0,0,1
Granero,21,0,0,0,1,0,1
