Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
F. Depaoli,72,0,0,0,1,0,1
R. Meggiorini,76,0,1,0,0,1,0
N. Tomovi\u0107,90,1,0,0,0,0,1
V. Birsa,90,0,0,0,1,1,0
P. Jaroszy\u0144ski,90,1,0,0,0,1,0
S. Sorrentino,90,0,0,1,0,0,1
A. Gamberini,90,1,0,0,0,0,1
F. Cacciatore,90,1,0,0,0,0,1
R. Inglese,90,0,1,0,0,0,1
S. Bastien,90,0,0,0,1,0,1
I. Radovanovi\u0107,90,0,0,0,1,0,1
D. Dainelli,18,1,0,0,0,0,1
M. St\u0119pi\u0144ski,14,0,1,0,0,0,1
