Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
P. Piatti,60,0,1,0,0,1,0
L\u00e9o Baptist\u00e3o,68,0,1,0,0,0,1
Mario Hermoso,90,1,0,0,0,1,0
Aar\u00f3n,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
David L\u00f3pez,90,1,0,0,0,0,1
Javi Fuego,90,0,0,0,1,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
Jurado,90,0,0,0,1,0,1
\u00d3scar Melendo,30,0,0,0,1,1,0
Sergio Garc\u00eda,22,0,1,0,0,0,1
