Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
M. Icardi,75,0,1,0,0,0,1
D. D'Ambrosio,77,1,0,0,0,0,1
A. Candreva,85,0,0,0,1,0,1
Borja Valero,90,0,0,0,1,0,1
S. Handanovi\u010d,90,0,0,1,0,0,1
M. \u0160kriniar,90,1,0,0,0,0,1
Jo\u00e3o M\u00e1rio,90,0,0,0,1,0,1
M. Brozovi\u0107,90,0,0,0,1,0,1
I. Peri\u0161i\u0107,90,0,0,0,1,0,1
D. Santon,90,1,0,0,0,0,1
A. Ranocchia,90,1,0,0,0,0,1
Eder,15,0,1,0,0,0,1
Dalbert,13,1,0,0,0,1,0
Y. Karamoh,5,0,1,0,0,0,1
