Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Charles,28,0,1,0,0,0,1
Jos\u00e9 \u00c1ngel,65,1,0,0,0,1,0
T. Inui,78,0,0,0,1,0,1
Rub\u00e9n Pe\u00f1a,90,0,0,0,1,0,1
Pedro Le\u00f3n,90,0,0,0,1,0,1
Arbilla,90,1,0,0,0,0,1
P. Diop,90,0,0,0,1,0,1
Joan Jord\u00e1n,90,0,0,0,1,0,1
M. Dmitrovi\u0107,90,0,0,1,0,1,0
Kike Garc\u00eda,90,0,1,0,0,0,1
Ramis,90,1,0,0,0,0,1
G. Escalante,62,0,0,0,1,0,1
Ander Capa,25,1,0,0,0,0,1
F. Orellana,12,0,0,0,1,0,1
